group_id	user_id	image_id	cluster_image_name	timestamp
1814	9060	4081	Ag6Pk5zieTrwC7LAzln3LlpXHYUVJkNTtv1PF_25Tinp.jpeg	1549559543
1814	9060	42671	Ag4TkCL6LZ0tsTYISV5HCKPA2cRCm6gwurp24Ygbpcme.jpeg	1549559545
1505	9398	26849	Ag34Y_JjHskC6D5Fn2TcRGXy4bvdu-lWzU8KCWhpTAoY.jpeg	1549564360
1821	5937	11674	Ag8a_szohFUCBZbZdZbPZVfUdSPQ7ophPTO5PSMkmDZo.jpeg	1549569313
1821	5937	34166	Ag6h_zjxjJrUL8S9iv85dsbo3B076hZvsC_ESGJHDlLr.jpeg	1549569314
1821	5937	40540	Ag2v144Yf0Ji2yLTrr94lLSO2WX1qtvsqrWeS4OvAMxj.jpeg	1549569328
1821	5937	5902	Ag55rtCE0niNAytQDswGrBRVJhTDRY0qvltW5T42-uJG.jpeg	1549569334
1765	16123	20258	AgGMubTar-uMTJxEDEXrxjn85FyCl0oNFgaNMp9KbG39.jpeg	1549580478
1765	16123	47775	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549580479
1765	16123	46130	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549580482
1765	16123	17281	AgKRoYTHuZ0x5bOB6aUbU8Ls0YjGCljgSuTsOfSkOClM.jpeg	1549580483
1765	16123	7047	Ag_AyZuvYY2sxIjkrVqqGMSkiQ-FJZbn8jwqlTyd_0NL.jpeg	1549580484
1765	16123	27923	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549580490
617	17893	1906	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549585230
617	17893	47670	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549585236
617	17893	27514	Ag4SvoCaLUkqwKl63LNDhHEN7R3eBDfmFyfNrVEVC9Wd.jpeg	1549585237
3252	1646	48889	Ag58zBYqplKcaWSkcfcE62EyJNxNJzm70B_jnpJu6YaN.jpeg	1549585483
617	2053	1906	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549586749
617	2053	47670	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549586756
617	2053	27514	Ag4SvoCaLUkqwKl63LNDhHEN7R3eBDfmFyfNrVEVC9Wd.jpeg	1549586758
182	11628	14895	Ag29YG8PM07fY5hv1K-RWMsSxz2ubXH6AOzjy4tBY4oW.jpeg	1549587990
2656	11628	14895	Ag29YG8PM07fY5hv1K-RWMsSxz2ubXH6AOzjy4tBY4oW.jpeg	1549587993
263	11628	14895	Ag29YG8PM07fY5hv1K-RWMsSxz2ubXH6AOzjy4tBY4oW.jpeg	1549587996
3254	2905	16329	Ag30_P_-brhY4H92gHMW7VgCP7mapuh2pSyeuAQtCPtV.jpeg	1549595505
3254	2905	19611	Ag07sWn3WuKXlLM6V8Oxsjplovc3fMiA7itg29lATzAu.jpeg	1549595507
3254	2905	44097	Ag6HhWaiRWxLbTieeuBF0QCs7hjxLROg637j6Cn6IXZ4.jpeg	1549595520
3256	2905	16329	Ag30_P_-brhY4H92gHMW7VgCP7mapuh2pSyeuAQtCPtV.jpeg	1549595541
3256	2905	19611	Ag07sWn3WuKXlLM6V8Oxsjplovc3fMiA7itg29lATzAu.jpeg	1549595542
3256	2905	44097	Ag6HhWaiRWxLbTieeuBF0QCs7hjxLROg637j6Cn6IXZ4.jpeg	1549595546
1576	12237	48770	AgATX4PQdBF3jcJToe0UEHxgcQRLnbAUuzTk4jpqr2rJ.jpeg	1549599290
1576	12237	16243	AgeZWyu4wwYaEiGhCZ0S5NbeQMvHGVqNdOgS8CtdujIe.jpeg	1549599291
1576	12237	4045	AgEFxIzoh8xn403CNFJeuvyIQL0U0-eXlJSxn7aOtUTn.jpeg	1549599292
1576	12237	26078	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549599294
1576	12237	25324	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549599297
1077	18403	43533	AgCu0wTwEyzS30xlxJcdbgGvglLV4MPXuhVoMJd-x_9y.jpeg	1549600928
3254	9980	29702	Ag0zrdMR9_zzmGOWBeSmku2UNyNV9WsurAfMtxZvYXeS.jpeg	1549601321
1244	5288	41888	AggedRerlQdY6sT3p678zffPgSIGRwaGxNphnyVhSbv2.jpeg	1549603723
1821	4805	36992	Ag00uFuTMIzxvpR4y85B0P4QQ-HWRKzxq0rNWm9NtvSq.jpeg	1549604299
982	4763	45289	Ag00uFuTMIzxvpR4y85B0P4QQ-HWRKzxq0rNWm9NtvSq.jpeg	1549605601
3252	13834	25162	AgBj39mBj_USTSkf0DITKmPLgoSrOKZ4m6x_59qBzwBQ.jpeg	1549607091
3252	13834	47593	Ag93o2oNRC1_KpZR4bZ_98el3Fchak4zFB0B7LDKDLx-.jpeg	1549607211
3252	13834	34966	AlPf11HCG3bZot3A6a_0fLoBdmEPQAu49-3XS40gnlv8.jpeg	1549607248
3252	13834	28585	Ag1OQEs9evg3AjIrXy4ZN6DZ5xKDNrayBFPyK90D1Abw.jpeg	1549607271
3252	13834	29852	Ag6MRhTPCMGu9tx5bhhAzZ8l4v2Amj79eEjLoO86GAWx.jpeg	1549607308
3252	13834	15860	Ag9Z8jDXbDwC5Yil9jqzLSYrCeOoJenEnsHWsptrAP_4.jpeg	1549607410
3252	13834	38133	Ag30_P_-brhY4H92gHMW7VgCP7mapuh2pSyeuAQtCPtV.jpeg	1549608052
516	18554	37296	AgAIxlO3jvK_3VVJmkjrp0-FETz_lswjYZwb_1d5ciU_.jpeg	1549609008
516	18554	26284	Ag6h_zjxjJrUL8S9iv85dsbo3B076hZvsC_ESGJHDlLr.jpeg	1549609039
516	18554	51746	Ag2v144Yf0Ji2yLTrr94lLSO2WX1qtvsqrWeS4OvAMxj.jpeg	1549609045
516	18554	39404	Ag8a_szohFUCBZbZdZbPZVfUdSPQ7ophPTO5PSMkmDZo.jpeg	1549609050
516	18554	37374	AgEFxIzoh8xn403CNFJeuvyIQL0U0-eXlJSxn7aOtUTn.jpeg	1549609057
516	18554	13471	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549609116
516	18554	16493	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549609120
516	18554	23596	Ag55rtCE0niNAytQDswGrBRVJhTDRY0qvltW5T42-uJG.jpeg	1549609145
516	18554	32717	Agk9zjTQSuqCWKraywrChGUOsMFroopraz7JWcXHzuln.jpeg	1549609420
2888	17129	50693	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549609680
2888	17129	22259	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549609691
2888	17129	4374	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549609721
831	13443	15678	Ag34Y_JjHskC6D5Fn2TcRGXy4bvdu-lWzU8KCWhpTAoY.jpeg	1549614117
612	3586	43883	Ag29YG8PM07fY5hv1K-RWMsSxz2ubXH6AOzjy4tBY4oW.jpeg	1549616212
3252	13834	14182	Ag04tSDTt7ktb_MGUm-QbvmuMoirCsQMFURzg8LcpP9u.jpeg	1549619176
3199	18566	21837	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549620519
3252	13834	20415	Ag49EkDp7Zmz9TDsmznl56QeJRewwdks47JBAt07VHBJ.jpeg	1549620708
984	12941	36794	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549620798
3252	13834	5154	Ag6HhWaiRWxLbTieeuBF0QCs7hjxLROg637j6Cn6IXZ4.jpeg	1549620984
984	12941	24195	AgGMubTar-uMTJxEDEXrxjn85FyCl0oNFgaNMp9KbG39.jpeg	1549621055
984	12941	13270	Ah3QAKpPwg15gFbur0m53SBNpDdUUUOMmu4LZm9gdUjg.jpeg	1549621088
984	12941	3842	AgKRoYTHuZ0x5bOB6aUbU8Ls0YjGCljgSuTsOfSkOClM.jpeg	1549621129
984	12941	43765	Ag_AyZuvYY2sxIjkrVqqGMSkiQ-FJZbn8jwqlTyd_0NL.jpeg	1549621137
984	12941	14635	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549621143
984	12941	48936	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549621282
984	12941	39234	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549621310
3252	13834	18202	Ag6wlaODDtUFmoYD1fgeh0wDbjGNiLMnlQGI_LBdLgxJ.jpeg	1549621526
3252	13834	5763	Ag2Qm018qUno4fJ_rYq2_HZPRzdYtyqrG0n81xNQINBi.jpeg	1549621943
3252	13834	36322	Ag4ATkJxoAuQiKXIYQNpDhyyLvuOgajwOX3Eg5nGBHmk.jpeg	1549623188
2904	6943	8571	Ag6dEVw887TjLP7sLHAp4nGg8oeweX_M94KVEDU-Fqkc.jpeg	1549623730
713	10000	47294	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549630158
3254	5361	5685	Ag00uFuTMIzxvpR4y85B0P4QQ-HWRKzxq0rNWm9NtvSq.jpeg	1549632624
2870	9796	40540	Ag2v144Yf0Ji2yLTrr94lLSO2WX1qtvsqrWeS4OvAMxj.jpeg	1549636935
2870	9796	47294	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549636954
2870	9796	49737	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549636982
254	10908	22804	AgAIxlO3jvK_3VVJmkjrp0-FETz_lswjYZwb_1d5ciU_.jpeg	1549638244
254	10908	18293	Ag6h_zjxjJrUL8S9iv85dsbo3B076hZvsC_ESGJHDlLr.jpeg	1549638288
254	10908	9961	Ag2v144Yf0Ji2yLTrr94lLSO2WX1qtvsqrWeS4OvAMxj.jpeg	1549638296
254	10908	44544	Ag8a_szohFUCBZbZdZbPZVfUdSPQ7ophPTO5PSMkmDZo.jpeg	1549638318
254	10908	16869	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549638321
254	10908	15067	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549638323
1671	2520	41317	Ah3QAKpPwg15gFbur0m53SBNpDdUUUOMmu4LZm9gdUjg.jpeg	1549641228
2968	14767	37374	AgEFxIzoh8xn403CNFJeuvyIQL0U0-eXlJSxn7aOtUTn.jpeg	1549641599
2968	14767	16493	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549641600
2968	14767	13471	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549641604
2968	14767	32717	Agk9zjTQSuqCWKraywrChGUOsMFroopraz7JWcXHzuln.jpeg	1549641608
2968	14767	23596	Ag55rtCE0niNAytQDswGrBRVJhTDRY0qvltW5T42-uJG.jpeg	1549641609
3199	5115	25207	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549642089
3199	5115	21837	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549642092
3199	5115	40306	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549642093
2870	14317	30722	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549643709
2870	14317	23952	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549643719
2870	14317	10100	AgGMubTar-uMTJxEDEXrxjn85FyCl0oNFgaNMp9KbG39.jpeg	1549643742
2870	14317	31852	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549643750
2870	14317	38829	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549643776
2870	14317	14870	AgKRoYTHuZ0x5bOB6aUbU8Ls0YjGCljgSuTsOfSkOClM.jpeg	1549643790
2870	14317	1464	Ag_AyZuvYY2sxIjkrVqqGMSkiQ-FJZbn8jwqlTyd_0NL.jpeg	1549643800
1525	460	51584	AgI37m-w9DTL7CcqujIiGuMVwYfuaZlhimTIwn-qcGKY.jpeg	1549647603
1525	460	14331	Ag1xHh8CBfK1PrSFKMVl4YMmOy23PZgKcaWr4_JLt-Oz.jpeg	1549647608
1525	460	45418	AgeZWyu4wwYaEiGhCZ0S5NbeQMvHGVqNdOgS8CtdujIe.jpeg	1549647719
1525	460	16558	AgEFxIzoh8xn403CNFJeuvyIQL0U0-eXlJSxn7aOtUTn.jpeg	1549647729
1525	460	40761	AgATX4PQdBF3jcJToe0UEHxgcQRLnbAUuzTk4jpqr2rJ.jpeg	1549647737
1525	460	19458	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549647764
1525	460	45128	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549647768
3254	14233	45065	Ag58zBYqplKcaWSkcfcE62EyJNxNJzm70B_jnpJu6YaN.jpeg	1549681130
2108	547	12770	Ag0mH_8dDZ7i0fbnAzzYV0NgC3X9VsW8nepAkFpnZscU.jpeg	1549681591
2900	12949	43993	Ah3QAKpPwg15gFbur0m53SBNpDdUUUOMmu4LZm9gdUjg.jpeg	1549690519
612	3831	26842	Ag1XOoYdydADhjGJCgWS-2QDYwKAJTdf8KyJM3QuE07B.jpeg	1549691810
3252	10486	5253	Ag00uFuTMIzxvpR4y85B0P4QQ-HWRKzxq0rNWm9NtvSq.jpeg	1549703277
1766	14047	21624	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549707667
1766	14047	26513	AgkdNbVgWlvFKNKQh76jr2bA5MhMnqxaLpzc3351a3Hc.jpeg	1549707669
1766	14047	21392	AgGMubTar-uMTJxEDEXrxjn85FyCl0oNFgaNMp9KbG39.jpeg	1549707671
1766	14047	34509	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549707685
1766	14047	20997	Ag1ulHjijKtBdnhfrCfGDd8P8I6PrqbE4KzGVY2tk_j3.jpeg	1549707688
1766	14047	41300	AgKRoYTHuZ0x5bOB6aUbU8Ls0YjGCljgSuTsOfSkOClM.jpeg	1549707692
1766	14047	34317	Ag_AyZuvYY2sxIjkrVqqGMSkiQ-FJZbn8jwqlTyd_0NL.jpeg	1549707702
2480	12578	7476	AgCu0wTwEyzS30xlxJcdbgGvglLV4MPXuhVoMJd-x_9y.jpeg	1549708064
366	12710	23482	Ag4SvoCaLUkqwKl63LNDhHEN7R3eBDfmFyfNrVEVC9Wd.jpeg	1549712794
2547	1201	16126	Ag0s2AIqMxZyee8ja-YM6HFk68FPWHfGk2wFP8I2WpHr.jpeg	1549713893
2035	15087	28289	Aggi7aZqppuHBAwvdumqn6aKj_5SWCrIO8bua69nR0m6.jpeg	1549719323
2155	15374	42669	AgJz7wBOIxb9Z8amig7D9jMSvSCb8Hk8zHAD_LMxZ7hc.jpeg	1549720879
182	5886	44926	AgciM0NbqanqFOWrZrRlVWiGd35_89M9o3hfZErAiX2X.jpeg	1549721260
678	2340	26117	Ag6k_AU9727A8v-xZktJWNNFWzSisSZxF2-cp2RkFC_4.jpeg	1549724368
1290	1893	481	Ag6k_AU9727A8v-xZktJWNNFWzSisSZxF2-cp2RkFC_4.jpeg	1549728093
1525	8495	1424	Ag6k_AU9727A8v-xZktJWNNFWzSisSZxF2-cp2RkFC_4.jpeg	1549729369
713	5405	37296	AgAIxlO3jvK_3VVJmkjrp0-FETz_lswjYZwb_1d5ciU_.jpeg	1549731114
713	5405	26284	Ag6h_zjxjJrUL8S9iv85dsbo3B076hZvsC_ESGJHDlLr.jpeg	1549731116
713	5405	51746	Ag2v144Yf0Ji2yLTrr94lLSO2WX1qtvsqrWeS4OvAMxj.jpeg	1549731120
713	5405	37374	AgEFxIzoh8xn403CNFJeuvyIQL0U0-eXlJSxn7aOtUTn.jpeg	1549731123
713	5405	39404	Ag8a_szohFUCBZbZdZbPZVfUdSPQ7ophPTO5PSMkmDZo.jpeg	1549731135
713	5405	16493	AgaAyiukWnUK6omPngt2bIwwG0lxFYl3NxMw2JmlHRTM.jpeg	1549731138
713	5405	13471	Ag2lpOSfJmhkmlmzElhcdnmzaoy8KIs2OgDXw-UcC_DT.jpeg	1549731149
713	5405	23596	Ag55rtCE0niNAytQDswGrBRVJhTDRY0qvltW5T42-uJG.jpeg	1549731154
713	5405	32717	Agk9zjTQSuqCWKraywrChGUOsMFroopraz7JWcXHzuln.jpeg	1549731159
518	13911	36794	Ag0V76AC2BcW262dCkp55OsucAMf943DXWPvsLJxjP6e.jpeg	1549734876
